Subconjunto,Numero,Nome,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,UC1_CodUC,UC1_Assiduidade,UC1_AvalParcial,UC2_CodUC,UC2_Assiduidade,UC2_AvalParcial,UC3_CodUC,UC3_Assiduidade,UC3_AvalParcial,UC4_CodUC,UC4_Assiduidade,UC4_AvalParcial,UC5_CodUC,UC5_Assiduidade,UC5_AvalParcial,UC6_CodUC,UC6_Assiduidade,UC6_AvalParcial,UC7_CodUC,UC7_Assiduidade,UC7_AvalParcial,UC8_CodUC,UC8_Assiduidade,UC8_AvalParcial
b3,3282,A3282,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,22,C22,FALSO,2007,ACTIVO,ADL,Ordinário,2,30,30,18,0,10,0,,,,,,,,,,30,2,41201,39.02,,40909,22.22,,,,,,,,,,,,,,,,,,,
b1,3284,A3284,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,28,C28,VERDADEIRO,2015,ACTIVO,MUD,Trabalhador Estudante,1,6,30,0,0,10,0,,,,,,,,,,30,1,47268,41.67,,,,,,,,,,,,,,,,,,,,,,
b3,3285,A3285,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,29,C29,FALSO,2014,ACTIVO,TIT,Trabalhador Estudante,1,12,30,12,0,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
b3,3288,A3288,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,22,C22,FALSO,2009,ACTIVO,MUD,Trabalhador Estudante,2,12,30,6,0,10,0,,,,,,,,,,30,1,41201,39.02,,,,,,,,,,,,,,,,,,,,,,
b3,3289,A3289,,PORTUGAL,Sim,Sim,Não Prescrito,Licenciatura - 1º Ciclo,22,C22,FALSO,2013,ACTIVO,REI,Ordinário,1,24,30,12,0,10,0,,,,,,,,,,20,2,41703,-2,,47211,-1,,,,,,,,,,,,,,,,,,,
b1,3293,A3293,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,71,C71,VERDADEIRO,2015,ACTIVO,MUD,Trabalhador Estudante,1,30,30,18,0,10,0,,,,,,,,,,20,2,90065,-1,,90213,100,,,,,,,,,,,,,,,,,,,
b1,3295,A3295,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,VERDADEIRO,2015,ACTIVO,TIT,Ordinário,1,46,30,20,16,10,0,,,,,,,,,,20,5,90122,31.25,,90293,73.33,,90305,45.45,,90291,-1,,90292,84.62,,,,,,,,,,
b3,3298,A3298,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,52,C52,FALSO,2008,ACTIVO,RG,Trabalhador Estudante,2,30,30,12,0,10,0,,,,,,,,,,30,3,81125,0,,84116,10.34,,89096,79.31,,,,,,,,,,,,,,,,
b1,3300,A3300,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,21,C21,VERDADEIRO,2015,ACTIVO,MUD,Trabalhador Estudante,1,60,30,30,16,10,0,30,28/09/2015,Indeferida,26/10/2015,,,,,,30,4,42707,100,,43257,20,,42735,76.67,,47166,29.27,,,,,,,,,,,,,
b3,3306,A3306,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,56,C56,FALSO,2014,ACTIVO,M23,Ordinário,2,60,30,30,6,10,0,,,,,,,,,,30,5,83112,100,,81125,71.43,,84116,30,,81481,43.33,,85101,89.66,,,,,,,,,,
b3,3312,A3312,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,48,C48,FALSO,2012,ACTIVO,REI,Trabalhador Estudante,2,16,30,10,0,30,283.59,,,,,,,,,,10,1,40116,100,,,,,,,,,,,,,,,,,,,,,,
b3,3313,A3313,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,51,C51,FALSO,2012,ACTIVO,RG,Trabalhador Estudante,2,30,30,16,0,30,354.49,,,,,,,,,,30,2,81430,80,,82133,6.67,,,,,,,,,,,,,,,,,,,
b3,3314,A3314,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,FALSO,2014,ACTIVO,M23,Ordinário,1,56,30,26,0,30,531.72,,,,,,,,,,20,6,90122,43.75,,90293,80,,90305,63.64,,90101,100,,90291,-1,,90292,100,,,,,,,
b3,3319,A3319,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,20,C20,FALSO,2008,ACTIVO,M23,Ordinário,2,30,30,20,0,30,88.62,,,,,,,,,,20,2,47048,-1,,46715,50,,,,,,,,,,,,,,,,,,,
b3,3320,A3320,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,34,C34,FALSO,2012,ACTIVO,MUD,Ordinário,2,60,30,30,0,10,0,30,30/09/2015,Indeferida,30/11/2015,,,,,,20,5,47011,100,,47104,-2,,47208,100,,45301,43.9,,47205,100,,,,,,,,,,
b2,3321,A3321,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,6,C6,VERDADEIRO,2015,ACTIVO,TeSP-TCES,Ordinário,1,60,30,30,0,30,400,,,,,,,,,,30,5,18083,0,,18008,0,,18081,6.67,,18001,33.33,,18082,0,,,,,,,,,,
b3,3328,A3328,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,FALSO,2013,ACTIVO,REI,Trabalhador Estudante,2,62,30,28,0,10,0,,,,,,,,,,20,5,41541,-1,,47166,-1,,40338,-2,,42729,-1,,40333,100,,,,,,,,,,
b3,3329,A3329,,UCRÂNIA,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,35,C35,FALSO,2009,ACTIVO,RG,Trabalhador Estudante,2,30,30,12,0,10,0,,,,,,,,,,20,3,47169,100,,42729,-1,,47107,19.35,,,,,,,,,,,,,,,,
b3,3334,A3334,,PORTUGAL,Sim,Sim,Não Prescrito,Licenciatura - 1º Ciclo,22,C22,FALSO,2009,ACTIVO,M23,Trabalhador Estudante,1,30,30,18,0,10,0,,,,,,,,,,20,2,47211,-1,,40909,25.93,,,,,,,,,,,,,,,,,,,
b3,3337,A3337,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2014,ACTIVO,TIT-CET,Ordinário,1,52,30,18,0,10,0,,,,,,,,,,20,5,40333,100,,43257,-1,,47171,14.29,,42729,-1,,40331,-1,,,,,,,,,,
b1,3345,A3345,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,54,C54,FALSO,2015,ACTIVO,REI,Trabalhador Estudante,1,30,30,12,0,30,141.79,,,,,,,,,,30,3,81481,0,,85101,0,,81125,3.57,,,,,,,,,,,,,,,,
b1,3347,A3347,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,56,C56,FALSO,2015,ACTIVO,REI,Trabalhador Estudante,1,60,30,30,0,10,0,,,,,,,,,,30,5,81436,100,,84116,0,,85101,6.9,,81125,32.14,,81481,0,,,,,,,,,,
b3,3349,A3349,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,60,C60,FALSO,2014,ACTIVO,MUD-NOVCICLO,Trabalhador Estudante,2,60,30,30,0,30,531.72,,,,,,,,,,20,4,41703,-2,,41704,30.95,,42215,-2,,43501,100,,,,,,,,,,,,,
b1,3351,A3351,,PORTUGAL,Sim,Não,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2015,ACTIVO,REI,Ordinário,1,52,30,12,20,10,0,30,17/09/2015,Indeferida,16/11/2015,,,,,,20,5,40333,85.19,,43257,85.71,,47171,97.44,,42729,-1,,40331,89.66,,,,,,,,,,
b3,3353,A3353,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,25,C25,FALSO,2012,ACTIVO,RG,Dirigente Associativo Estudantil,2,60,30,30,18,10,0,,,,,,,,,,20,5,41208,86.36,,42729,-1,,47259,100,,41174,100,,47055,100,,,,,,,,,,
b3,3357,A3357,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,26,C26,FALSO,2014,ACTIVO,MUD,Trabalhador Estudante,2,52,30,22,0,30,1063.47,,,,,,,,,,20,4,42548,-1,,40333,82.76,,41541,-1,,40338,11.54,,,,,,,,,,,,,
b3,3358,A3358,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,TIT-CET,Trabalhador Estudante,1,26,30,16,6,10,0,,,,,,,,,,30,2,90242,93.33,,90241,0,,,,,,,,,,,,,,,,,,,
b2,3371,A3371,,PORTUGAL,Não,Não,,Curso Técnico Superior Profissional,3,C3,VERDADEIRO,2015,ACTIVO,TeSP-TCES,Trabalhador Estudante,1,60,30,30,24,10,0,30,30/09/2015,Indeferida,20/02/2016,,,,,,30,5,18050,3.85,,18053,44.83,,18051,43.75,,18054,40,,18052,32.14,,,,,,,,,,
b3,3372,A3372,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,21,C21,FALSO,2011,ACTIVO,TIT,Trabalhador Estudante,2,30,30,8,0,10,0,,,,,,,,,,20,3,42707,100,,42735,30,,47166,-1,,,,,,,,,,,,,,,,
b1,3374,A3374,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,21,C21,FALSO,2015,ACTIVO,REI,Ordinário,1,52,30,22,0,10,0,,,,,,,,,,20,4,42707,100,,43257,-1,,42735,30,,47166,-1,,,,,,,,,,,,,
b3,3375,A3375,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,56,C56,FALSO,2011,ACTIVO,M23,Trabalhador Estudante,2,30,30,18,6,10,0,,,,,,,,,,30,2,81125,89.29,,85101,24.14,,,,,,,,,,,,,,,,,,,
b3,3382,A3382,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,TIT-CET,Ordinário,2,30,30,14,0,10,0,,,,,,,,,,30,3,90121,100,,90124,6.67,,90241,28.57,,,,,,,,,,,,,,,,
b1,3387,A3387,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,76,C76,VERDADEIRO,2015,ACTIVO,MUD,Ordinário,1,36,30,12,0,10,0,,,,,,,,,,20,4,41703,-2,,42729,-1,,43504,-1,,40909,53.85,,,,,,,,,,,,,
b3,3388,A3388,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,51,C51,FALSO,2012,ACTIVO,RG,Trabalhador Estudante,2,30,30,20,0,10,0,,,,,,,,,,30,2,85111,13.33,,81436,100,,,,,,,,,,,,,,,,,,,
b1,3392,A3392,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,79,C79,VERDADEIRO,2015,ACTIVO,TIT-CET,Ordinário,1,60,30,30,18,10,0,,,,,,,,,,30,5,47287,52.63,,47286,14.81,,47289,26.67,,47419,3.45,,47290,25.58,,,,,,,,,,
b3,3393,A3393,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,FALSO,2012,ACTIVO,RG,Trabalhador Estudante,2,58,30,26,0,10,0,,,,,,,,,,20,6,90293,0,,90122,12.5,,90305,0,,99100,-1,,90292,42.31,,90291,-1,,,,,,,
b3,3394,A3394,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,FALSO,2013,ACTIVO,RG,Ordinário,2,60,30,30,6,30,354.5,,,,,,,,,,20,5,40394,-2,,42782,30.77,,43501,100,,47028,53.85,,47035,67.86,,,,,,,,,,
b3,3403,A3403,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2014,ACTIVO,TIT-CET,Ordinário,2,54,30,28,12,10,0,,,,,,,,,,20,5,90121,100,,90124,33.33,,90242,0,,99933,-1,,90006,-2,,,,,,,,,,
b3,3407,A3407,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,69,C69,FALSO,2014,ACTIVO,TIT-CET,Ordinário,2,60,30,32,0,10,0,,,,,,,,,,20,5,90292,42.31,,99928,-1,,90122,6.25,,90305,0,,90293,3.33,,,,,,,,,,
b3,3409,A3409,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,18,C18,FALSO,2014,ACTIVO,TIT-CET,Ordinário,1,52,30,26,6,10,0,30,11/10/2015,Indeferida,02/11/2015,,,,,,30,4,40333,92.31,,43257,82.14,,47171,80.49,,42729,74.07,,,,,,,,,,,,,
b3,3411,A3411,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,28,C28,FALSO,2014,ACTIVO,TIT-CET,Ordinário,2,60,10,30,30,10,0,,,,,,,,,,20,5,41303,100,,45711,86.67,,42729,-1,,41208,83.33,,47261,100,,,,,,,,,,
b3,3412,A3412,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,23,C23,FALSO,2014,ACTIVO,TIT-CET,Trabalhador Estudante,2,60,30,30,0,10,0,,,,,,,,,,30,5,45789,41.38,,45737,58.97,,40721,25,,41201,59.09,,47286,0,,,,,,,,,,
b1,3416,A3416,,PORTUGAL,Sim,Sim,Não Prescrito,Licenciatura - 1º Ciclo,22,C22,VERDADEIRO,2015,ACTIVO,TIT-CET,Ordinário,1,30,30,12,6,10,0,,,,,,,,,,20,2,40909,89.29,,41703,-2,,,,,,,,,,,,,,,,,,,
b3,3417,A3417,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2014,ACTIVO,TIT-CET,Ordinário,2,56,30,30,22,10,0,,,,,,,,,,20,5,90006,-2,,90121,100,,90124,36.67,,99933,-1,,90242,83.33,,,,,,,,,,
